country,region,city,customer_segment,customer_age_group,previous_device_os,customer_id
Argentina,South America,Córdoba,Individual,35–44,iOS 15,37
Argentina,South America,Córdoba,Business,18–24,Unknown,38
Argentina,South America,Córdoba,Education,45–54,Unknown,39
Argentina,South America,Córdoba,Individual,18–24,Unknown,40
Argentina,South America,Córdoba,Business,55+,Unknown,41
Argentina,South America,Córdoba,Individual,35–44,Unknown,42
Argentina,South America,Córdoba,Government,45–54,iOS 16,43
Argentina,South America,Córdoba,Government,25–34,Other,44
Argentina,South America,Córdoba,Government,18–24,Unknown,45
Argentina,South America,Córdoba,Government,35–44,Unknown,46
Argentina,South America,Córdoba,Individual,35–44,New User,47
Argentina,South America,Córdoba,Education,35–44,Unknown,48
Argentina,South America,Córdoba,Business,25–34,Other,49
Argentina,South America,La Plata,Education,25–34,Unknown,50
Argentina,South America,La Plata,Education,18–24,Unknown,51
Argentina,South America,La Plata,Individual,55+,Unknown,52
Argentina,South America,La Plata,Business,45–54,Unknown,53
Argentina,South America,La Plata,Government,25–34,Unknown,54
Argentina,South America,La Plata,Business,18–24,Unknown,55
Argentina,South America,La Plata,Government,45–54,Unknown,56
Argentina,South America,La Plata,Business,25–34,Unknown,57
Argentina,South America,La Plata,Business,55+,Unknown,58
Argentina,South America,La Plata,Government,55+,Other,59
Argentina,South America,La Plata,Government,35–44,Unknown,60
Argentina,South America,La Plata,Business,35–44,iOS 15,61
Argentina,South America,La Plata,Business,55+,Other,62
Argentina,South America,La Plata,Business,25–34,iOS 16,63
Argentina,South America,La Plata,Business,45–54,Other,64
Argentina,South America,La Plata,Government,18–24,Unknown,65
Argentina,South America,La Plata,Government,45–54,Android,66
Argentina,South America,La Plata,Individual,35–44,Unknown,67
Argentina,South America,La Plata,Government,55+,Unknown,68
Argentina,South America,La Plata,Business,45–54,iOS 16,69
Argentina,South America,La Plata,Education,45–54,Unknown,70
Argentina,South America,La Plata,Government,18–24,Android,71
Argentina,South America,La Plata,Individual,18–24,Unknown,72
Argentina,South America,La Plata,Education,25–34,iOS 17,73
Argentina,South America,Mar del Plata,Individual,18–24,Unknown,74
Argentina,South America,Mar del Plata,Business,18–24,Unknown,75
Argentina,South America,Mar del Plata,Education,45–54,Unknown,76
Argentina,South America,Mar del Plata,Government,35–44,Unknown,77
Argentina,South America,Mar del Plata,Education,25–34,Unknown,78
Argentina,South America,Mar del Plata,Government,25–34,Unknown,79
Argentina,South America,Mar del Plata,Education,35–44,Unknown,80
Argentina,South America,Mar del Plata,Education,55+,Unknown,81
Argentina,South America,Mar del Plata,Individual,35–44,Unknown,82
Argentina,South America,Mar del Plata,Business,45–54,New User,83
Argentina,South America,Mar del Plata,Business,35–44,Unknown,84
Argentina,South America,Mar del Plata,Individual,25–34,Unknown,85
Argentina,South America,Mar del Plata,Individual,18–24,New User,86
Argentina,South America,Mar del Plata,Government,55+,Unknown,87
Argentina,South America,Mar del Plata,Government,45–54,New User,88
Argentina,South America,Mar del Plata,Government,18–24,Unknown,89
Argentina,South America,Mar del Plata,Business,45–54,Other,90
Argentina,South America,Mar del Plata,Business,25–34,iOS 15,91
Argentina,South America,Mendoza,Government,25–34,Other,92
Argentina,South America,Mendoza,Government,45–54,Unknown,93
Argentina,South America,Mendoza,Individual,55+,Unknown,94
Argentina,South America,Mendoza,Government,35–44,New User,95
Argentina,South America,Mendoza,Education,35–44,Unknown,96
Argentina,South America,Mendoza,Business,35–44,iOS 16,97
Argentina,South America,Mendoza,Business,45–54,Unknown,98
Argentina,South America,Mendoza,Government,35–44,Android,99
Argentina,South America,Mendoza,Individual,45–54,Unknown,100
Argentina,South America,Mendoza,Government,18–24,Android,101
Argentina,South America,Mendoza,Government,18–24,Unknown,102
Argentina,South America,Mendoza,Government,55+,Unknown,103
Argentina,South America,Mendoza,Individual,35–44,Unknown,104
Argentina,South America,Mendoza,Government,35–44,Unknown,105
Argentina,South America,Mendoza,Government,35–44,iOS 15,106
Argentina,South America,Mendoza,Business,55+,Unknown,107
Argentina,South America,Mendoza,Government,25–34,Unknown,108
Argentina,South America,Mendoza,Government,25–34,iOS 16,109
Argentina,South America,Mendoza,Education,25–34,Unknown,110
Argentina,South America,Mendoza,Individual,25–34,Unknown,111
Argentina,South America,Rosario,Business,35–44,Unknown,112
Argentina,South America,Rosario,Individual,45–54,iOS 16,113
Argentina,South America,Rosario,Business,55+,Unknown,114
Argentina,South America,Rosario,Government,25–34,Unknown,115
Argentina,South America,Rosario,Education,45–54,Unknown,116
Argentina,South America,Rosario,Government,18–24,iOS 16,117
Argentina,South America,Rosario,Individual,18–24,Unknown,118
Argentina,South America,Rosario,Education,55+,Unknown,119
Argentina,South America,Rosario,Business,25–34,New User,120
Argentina,South America,Rosario,Individual,55+,iOS 17,121
Argentina,South America,Rosario,Government,18–24,iOS 15,122
Argentina,South America,Rosario,Government,55+,Unknown,123
Argentina,South America,Rosario,Education,18–24,Unknown,124
Argentina,South America,Rosario,Business,55+,New User,125
Argentina,South America,Rosario,Government,18–24,Unknown,126
Argentina,South America,Rosario,Business,18–24,Unknown,127
Argentina,South America,Rosario,Government,35–44,Unknown,128
Argentina,South America,Rosario,Business,25–34,Unknown,129
Argentina,South America,Rosario,Individual,45–54,Unknown,130
Argentina,South America,Rosario,Education,25–34,Unknown,131
Argentina,South America,Rosario,Education,35–44,Unknown,132
Argentina,South America,Rosario,Education,18–24,iOS 15,133
Argentina,South America,Rosario,Education,25–34,New User,134
Argentina,South America,Rosario,Business,18–24,iOS 16,135
Argentina,South America,Rosario,Education,35–44,iOS 15,136
Argentina,South America,Rosario,Business,45–54,Unknown,137
Argentina,South America,Rosario,Education,35–44,New User,138
Argentina,South America,Salta,Government,35–44,Unknown,139
Argentina,South America,Salta,Education,18–24,Unknown,140
Argentina,South America,Salta,Individual,55+,Android,141
Argentina,South America,Salta,Business,45–54,iOS 16,142
Argentina,South America,Salta,Education,45–54,Unknown,143
Argentina,South America,Salta,Government,25–34,Android,144
Argentina,South America,Salta,Individual,55+,Unknown,145
Argentina,South America,Salta,Education,35–44,Unknown,146
Argentina,South America,Salta,Government,45–54,Unknown,147
Argentina,South America,Salta,Business,45–54,Unknown,148
Argentina,South America,Salta,Education,55+,Unknown,149
Argentina,South America,Salta,Government,18–24,Unknown,150
Argentina,South America,Salta,Individual,25–34,Unknown,151
Argentina,South America,Salta,Education,25–34,Unknown,152
Argentina,South America,Salta,Individual,25–34,iOS 17,153
Argentina,South America,Salta,Government,55+,Unknown,154
Argentina,South America,Salta,Education,35–44,iOS 15,155
Argentina,South America,Salta,Business,25–34,Unknown,156
Argentina,South America,Salta,Individual,55+,iOS 17,157
Argentina,South America,Salta,Education,55+,Android,158
Argentina,South America,Salta,Individual,55+,Other,159
Argentina,South America,Salta,Business,45–54,New User,160
Argentina,South America,Tucumán,Government,18–24,Unknown,161
Argentina,South America,Tucumán,Government,18–24,Other,162
Argentina,South America,Tucumán,Business,45–54,Other,163
Argentina,South America,Tucumán,Individual,18–24,Unknown,164
Argentina,South America,Tucumán,Education,25–34,Unknown,165
Argentina,South America,Tucumán,Business,55+,Unknown,166
Argentina,South America,Tucumán,Education,55+,Unknown,167
Argentina,South America,Tucumán,Individual,25–34,Unknown,168
Argentina,South America,Tucumán,Business,18–24,Unknown,169
Argentina,South America,Tucumán,Individual,45–54,Unknown,170
Argentina,South America,Tucumán,Government,35–44,Unknown,171
Argentina,South America,Tucumán,Government,25–34,Other,172
Argentina,South America,Tucumán,Government,25–34,Unknown,173
Argentina,South America,Tucumán,Education,55+,iOS 15,174
Argentina,South America,Tucumán,Education,35–44,iOS 17,175
Argentina,South America,Tucumán,Education,18–24,New User,176
Argentina,South America,Tucumán,Individual,55+,iOS 15,177
Argentina,South America,Tucumán,Education,45–54,iOS 15,178
Argentina,South America,Tucumán,Individual,35–44,Unknown,179
Argentina,South America,Tucumán,Individual,55+,Unknown,180
Argentina,South America,Tucumán,Government,55+,Unknown,181
Argentina,South America,Tucumán,Business,35–44,iOS 16,182
Argentina,South America,Tucumán,Government,18–24,iOS 16,183
Argentina,South America,Tucumán,Education,35–44,Unknown,184
Argentina,South America,Tucumán,Business,45–54,New User,185
Argentina,South America,Tucumán,Business,25–34,New User,186
Australia,Oceania,Adelaide,Government,35–44,Unknown,187
Australia,Oceania,Adelaide,Education,18–24,Unknown,188
Australia,Oceania,Adelaide,Government,35–44,Other,189
Australia,Oceania,Adelaide,Education,25–34,Unknown,190
Australia,Oceania,Adelaide,Individual,55+,Unknown,191
Australia,Oceania,Adelaide,Government,18–24,Unknown,192
Australia,Oceania,Adelaide,Individual,35–44,Unknown,193
Australia,Oceania,Adelaide,Education,18–24,Android,194
Australia,Oceania,Adelaide,Individual,35–44,iOS 17,195
Australia,Oceania,Adelaide,Government,18–24,New User,196
Australia,Oceania,Adelaide,Education,55+,iOS 16,197
Australia,Oceania,Adelaide,Government,45–54,Other,198
Australia,Oceania,Adelaide,Education,25–34,Android,199
Australia,Oceania,Adelaide,Business,45–54,Unknown,200
Australia,Oceania,Adelaide,Education,45–54,Unknown,201
Australia,Oceania,Adelaide,Education,25–34,iOS 17,202
Australia,Oceania,Adelaide,Government,25–34,Unknown,203
Australia,Oceania,Brisbane,Individual,35–44,Unknown,204
Australia,Oceania,Brisbane,Government,35–44,Unknown,205
Australia,Oceania,Brisbane,Business,35–44,Unknown,206
Australia,Oceania,Brisbane,Government,45–54,New User,207
Australia,Oceania,Brisbane,Education,18–24,Unknown,208
Australia,Oceania,Brisbane,Individual,18–24,iOS 15,209
Australia,Oceania,Brisbane,Business,18–24,Unknown,210
Australia,Oceania,Brisbane,Government,18–24,Unknown,211
Australia,Oceania,Brisbane,Education,18–24,iOS 15,212
Australia,Oceania,Brisbane,Individual,25–34,iOS 16,213
Australia,Oceania,Brisbane,Individual,45–54,Unknown,214
Australia,Oceania,Brisbane,Business,45–54,Unknown,215
Australia,Oceania,Brisbane,Education,25–34,Unknown,216
Australia,Oceania,Brisbane,Government,45–54,Unknown,217
Australia,Oceania,Brisbane,Business,55+,Unknown,218
Australia,Oceania,Brisbane,Business,35–44,Android,219
Australia,Oceania,Brisbane,Individual,55+,iOS 16,220
Australia,Oceania,Brisbane,Individual,18–24,Unknown,221
Australia,Oceania,Brisbane,Business,18–24,Other,222
Australia,Oceania,Canberra,Individual,35–44,Unknown,223
Australia,Oceania,Canberra,Government,45–54,Unknown,224
Australia,Oceania,Canberra,Business,18–24,Unknown,225
Australia,Oceania,Canberra,Government,18–24,Unknown,226
Australia,Oceania,Canberra,Government,25–34,iOS 17,227
Australia,Oceania,Canberra,Business,55+,Unknown,228
Australia,Oceania,Canberra,Education,55+,iOS 17,229
Australia,Oceania,Canberra,Individual,25–34,Unknown,230
Australia,Oceania,Canberra,Government,25–34,Unknown,231
Australia,Oceania,Canberra,Education,25–34,Unknown,232
Australia,Oceania,Canberra,Government,55+,iOS 17,233
Australia,Oceania,Canberra,Business,25–34,iOS 15,234
Australia,Oceania,Canberra,Education,35–44,Unknown,235
Australia,Oceania,Canberra,Individual,45–54,New User,236
Australia,Oceania,Canberra,Education,55+,Unknown,237
Australia,Oceania,Canberra,Business,55+,New User,238
Australia,Oceania,Canberra,Business,45–54,Unknown,239
Australia,Oceania,Darwin,Government,45–54,Unknown,240
Australia,Oceania,Darwin,Business,55+,New User,241
Australia,Oceania,Darwin,Government,18–24,Android,242
Australia,Oceania,Darwin,Business,18–24,iOS 15,243
Australia,Oceania,Darwin,Individual,25–34,New User,244
Australia,Oceania,Darwin,Education,55+,Unknown,245
Australia,Oceania,Darwin,Business,45–54,Other,246
Australia,Oceania,Darwin,Business,55+,iOS 17,247
Australia,Oceania,Darwin,Education,25–34,Unknown,248
Australia,Oceania,Darwin,Education,18–24,Unknown,249
Australia,Oceania,Darwin,Individual,25–34,Unknown,250
Australia,Oceania,Darwin,Business,35–44,Unknown,251
Australia,Oceania,Darwin,Individual,55+,Unknown,252
Australia,Oceania,Darwin,Education,25–34,iOS 15,253
Australia,Oceania,Darwin,Education,45–54,Android,254
Australia,Oceania,Darwin,Business,45–54,Unknown,255
Australia,Oceania,Darwin,Government,35–44,New User,256
Australia,Oceania,Darwin,Individual,35–44,Unknown,257
Australia,Oceania,Darwin,Business,45–54,New User,258
Australia,Oceania,Darwin,Government,25–34,Android,259
Australia,Oceania,Darwin,Government,55+,iOS 17,260
Australia,Oceania,Darwin,Government,25–34,Unknown,261
Australia,Oceania,Darwin,Education,18–24,New User,262
Australia,Oceania,Darwin,Individual,45–54,New User,263
Australia,Oceania,Gold Coast,Education,25–34,Unknown,264
Australia,Oceania,Gold Coast,Business,45–54,Unknown,265
Australia,Oceania,Gold Coast,Government,35–44,Unknown,266
Australia,Oceania,Gold Coast,Government,55+,Unknown,267
Australia,Oceania,Gold Coast,Individual,45–54,Unknown,268
Australia,Oceania,Gold Coast,Business,35–44,Unknown,269
Australia,Oceania,Gold Coast,Government,18–24,Unknown,270
Australia,Oceania,Gold Coast,Business,18–24,Other,271
Australia,Oceania,Gold Coast,Individual,35–44,Unknown,272
Australia,Oceania,Gold Coast,Education,18–24,Unknown,273
Australia,Oceania,Gold Coast,Government,18–24,Other,274
Australia,Oceania,Gold Coast,Government,25–34,Android,275
Australia,Oceania,Gold Coast,Education,45–54,Unknown,276
Australia,Oceania,Gold Coast,Individual,25–34,Unknown,277
Australia,Oceania,Gold Coast,Business,55+,New User,278
Australia,Oceania,Gold Coast,Government,35–44,iOS 17,279
Australia,Oceania,Gold Coast,Individual,55+,Unknown,280
Australia,Oceania,Hobart,Education,35–44,Unknown,281
Australia,Oceania,Hobart,Education,25–34,Unknown,282
Australia,Oceania,Hobart,Government,55+,Unknown,283
Australia,Oceania,Hobart,Government,18–24,Unknown,284
Australia,Oceania,Hobart,Government,25–34,Unknown,285
Australia,Oceania,Hobart,Individual,18–24,Unknown,286
Australia,Oceania,Hobart,Individual,45–54,Unknown,287
Australia,Oceania,Hobart,Individual,18–24,iOS 16,288
Australia,Oceania,Hobart,Government,45–54,iOS 16,289
Australia,Oceania,Hobart,Government,45–54,Unknown,290
Australia,Oceania,Hobart,Government,35–44,Unknown,291
Australia,Oceania,Hobart,Business,18–24,iOS 17,292
Australia,Oceania,Hobart,Education,25–34,iOS 15,293
Australia,Oceania,Hobart,Business,25–34,Other,294
Australia,Oceania,Hobart,Business,35–44,Unknown,295
Australia,Oceania,Hobart,Business,45–54,Unknown,296
Australia,Oceania,Hobart,Education,35–44,iOS 15,297
Australia,Oceania,Melbourne,Education,35–44,Unknown,298
Australia,Oceania,Melbourne,Business,25–34,iOS 16,299
Australia,Oceania,Melbourne,Government,35–44,Unknown,300
Australia,Oceania,Melbourne,Business,18–24,iOS 15,301
Australia,Oceania,Melbourne,Individual,55+,Unknown,302
Australia,Oceania,Melbourne,Individual,45–54,Unknown,303
Australia,Oceania,Melbourne,Education,18–24,Unknown,304
Australia,Oceania,Melbourne,Education,45–54,Unknown,305
Australia,Oceania,Melbourne,Education,25–34,Unknown,306
Australia,Oceania,Melbourne,Business,45–54,Unknown,307
Australia,Oceania,Melbourne,Individual,18–24,Unknown,308
Australia,Oceania,Melbourne,Government,25–34,Android,309
Australia,Oceania,Melbourne,Education,45–54,Android,310
Australia,Oceania,Melbourne,Government,55+,Android,311
Australia,Oceania,Melbourne,Individual,35–44,Android,312
Australia,Oceania,Melbourne,Business,25–34,Android,313
Australia,Oceania,Melbourne,Business,35–44,Unknown,314
Australia,Oceania,Melbourne,Business,18–24,Unknown,315
Australia,Oceania,Melbourne,Individual,35–44,Unknown,316
Australia,Oceania,Newcastle,Individual,35–44,Unknown,317
Australia,Oceania,Newcastle,Individual,45–54,Unknown,318
Australia,Oceania,Newcastle,Government,35–44,Unknown,319
Australia,Oceania,Newcastle,Government,18–24,Unknown,320
Australia,Oceania,Newcastle,Business,25–34,Android,321
Australia,Oceania,Newcastle,Business,45–54,Unknown,322
Australia,Oceania,Newcastle,Education,55+,Unknown,323
Australia,Oceania,Newcastle,Education,45–54,Unknown,324
Australia,Oceania,Newcastle,Business,55+,Unknown,325
Australia,Oceania,Newcastle,Government,25–34,Unknown,326
Australia,Oceania,Newcastle,Education,25–34,Unknown,327
Australia,Oceania,Newcastle,Government,45–54,Android,328
Australia,Oceania,Newcastle,Business,18–24,Unknown,329
Australia,Oceania,Newcastle,Individual,25–34,Unknown,330
Australia,Oceania,Newcastle,Individual,18–24,Android,331
Australia,Oceania,Newcastle,Business,55+,iOS 16,332
Australia,Oceania,Newcastle,Education,45–54,New User,333
Australia,Oceania,Newcastle,Business,35–44,Unknown,334
Australia,Oceania,Newcastle,Business,25–34,Unknown,335
Australia,Oceania,Perth,Education,55+,Unknown,336
Australia,Oceania,Perth,Government,55+,Unknown,337
Australia,Oceania,Perth,Individual,35–44,Unknown,338
Australia,Oceania,Perth,Individual,45–54,Unknown,339
Australia,Oceania,Perth,Education,25–34,New User,340
Australia,Oceania,Perth,Government,35–44,Unknown,341
Australia,Oceania,Perth,Education,25–34,Unknown,342
Australia,Oceania,Perth,Business,18–24,Unknown,343
Australia,Oceania,Perth,Education,35–44,iOS 17,344
Australia,Oceania,Perth,Government,25–34,Unknown,345
Australia,Oceania,Perth,Individual,18–24,Unknown,346
Australia,Oceania,Perth,Education,45–54,Unknown,347
Australia,Oceania,Perth,Business,25–34,Android,348
Australia,Oceania,Perth,Government,45–54,New User,349
Australia,Oceania,Perth,Education,45–54,iOS 16,350
Australia,Oceania,Perth,Education,18–24,Android,351
Australia,Oceania,Perth,Education,35–44,Unknown,352
Australia,Oceania,Perth,Education,18–24,iOS 16,353
Australia,Oceania,Perth,Government,25–34,Android,354
Australia,Oceania,Perth,Education,18–24,Unknown,355
Australia,Oceania,Perth,Individual,18–24,iOS 16,356
Australia,Oceania,Sydney,Government,55+,Unknown,357
Australia,Oceania,Sydney,Education,55+,Unknown,358
Australia,Oceania,Sydney,Individual,25–34,Unknown,359
Australia,Oceania,Sydney,Government,45–54,Unknown,360
Australia,Oceania,Sydney,Education,45–54,Unknown,361
Australia,Oceania,Sydney,Business,18–24,Unknown,362
Australia,Oceania,Sydney,Business,18–24,iOS 16,363
Australia,Oceania,Sydney,Business,55+,Unknown,364
Australia,Oceania,Sydney,Individual,35–44,Unknown,365
Australia,Oceania,Sydney,Education,18–24,Unknown,366
Australia,Oceania,Sydney,Individual,55+,iOS 15,367
Australia,Oceania,Sydney,Individual,55+,Unknown,368
Australia,Oceania,Sydney,Government,35–44,Unknown,369
Austria,Europe,Dornbirn,Education,45–54,Other,370
Austria,Europe,Dornbirn,Government,35–44,Unknown,371
Austria,Europe,Dornbirn,Education,18–24,Unknown,372
Austria,Europe,Dornbirn,Education,45–54,Unknown,373
Austria,Europe,Dornbirn,Individual,45–54,Unknown,374
Austria,Europe,Dornbirn,Business,45–54,Unknown,375
Austria,Europe,Dornbirn,Individual,25–34,Unknown,376
Austria,Europe,Dornbirn,Education,35–44,Unknown,377
Austria,Europe,Dornbirn,Government,25–34,Unknown,378
Austria,Europe,Dornbirn,Education,35–44,Android,379
Austria,Europe,Dornbirn,Government,45–54,iOS 17,380
Austria,Europe,Dornbirn,Government,55+,Unknown,381
Austria,Europe,Dornbirn,Individual,35–44,Other,382
Austria,Europe,Dornbirn,Education,25–34,Android,383
Austria,Europe,Dornbirn,Business,25–34,Unknown,384
Austria,Europe,Dornbirn,Individual,55+,Unknown,385
Austria,Europe,Dornbirn,Education,25–34,Unknown,386
Austria,Europe,Dornbirn,Government,45–54,Unknown,387
Austria,Europe,Dornbirn,Education,55+,Unknown,388
Austria,Europe,Dornbirn,Individual,18–24,Unknown,389
Austria,Europe,Dornbirn,Education,35–44,iOS 15,390
Austria,Europe,Dornbirn,Individual,35–44,Unknown,391
Austria,Europe,Graz,Education,55+,Unknown,392
Austria,Europe,Graz,Education,35–44,Unknown,393
Austria,Europe,Graz,Business,25–34,Unknown,394
Austria,Europe,Graz,Business,35–44,Android,395
Austria,Europe,Graz,Government,45–54,Unknown,396
Austria,Europe,Graz,Government,55+,New User,397
Austria,Europe,Graz,Individual,35–44,Unknown,398
Austria,Europe,Graz,Business,18–24,Unknown,399
Austria,Europe,Graz,Individual,18–24,Unknown,400
Austria,Europe,Graz,Individual,55+,Unknown,401
Austria,Europe,Graz,Education,25–34,Unknown,402
Austria,Europe,Graz,Government,35–44,Android,403
Austria,Europe,Graz,Government,25–34,Unknown,404
Austria,Europe,Graz,Education,18–24,Unknown,405
Austria,Europe,Graz,Individual,35–44,Other,406
Austria,Europe,Innsbruck,Government,35–44,iOS 15,407
Austria,Europe,Innsbruck,Education,18–24,Unknown,408
Austria,Europe,Innsbruck,Education,55+,Unknown,409
Austria,Europe,Innsbruck,Business,25–34,Unknown,410
Austria,Europe,Innsbruck,Education,45–54,Unknown,411
Austria,Europe,Innsbruck,Business,35–44,Unknown,412
Austria,Europe,Innsbruck,Business,18–24,iOS 16,413
Austria,Europe,Innsbruck,Education,25–34,Unknown,414
Austria,Europe,Innsbruck,Government,35–44,Unknown,415
Austria,Europe,Innsbruck,Government,35–44,New User,416
Austria,Europe,Innsbruck,Business,18–24,iOS 17,417
Austria,Europe,Innsbruck,Government,45–54,Unknown,418
Austria,Europe,Innsbruck,Government,55+,Unknown,419
Austria,Europe,Innsbruck,Government,35–44,Android,420
Austria,Europe,Innsbruck,Government,18–24,Unknown,421
Austria,Europe,Innsbruck,Business,35–44,iOS 15,422
Austria,Europe,Klagenfurt,Government,18–24,Unknown,423
Austria,Europe,Klagenfurt,Business,35–44,Unknown,424
Austria,Europe,Klagenfurt,Individual,45–54,Unknown,425
Austria,Europe,Klagenfurt,Government,25–34,Unknown,426
Austria,Europe,Klagenfurt,Government,55+,New User,427
Austria,Europe,Klagenfurt,Education,55+,Unknown,428
Austria,Europe,Klagenfurt,Individual,55+,Unknown,429
Austria,Europe,Klagenfurt,Government,25–34,New User,430
Austria,Europe,Klagenfurt,Education,45–54,Other,431
Austria,Europe,Klagenfurt,Education,35–44,Unknown,432
Austria,Europe,Klagenfurt,Individual,18–24,Unknown,433
Austria,Europe,Klagenfurt,Government,35–44,Unknown,434
Austria,Europe,Klagenfurt,Business,55+,iOS 15,435
Austria,Europe,Klagenfurt,Education,55+,iOS 17,436
Austria,Europe,Klagenfurt,Individual,25–34,Unknown,437
Austria,Europe,Klagenfurt,Business,45–54,Unknown,438
Austria,Europe,Klagenfurt,Education,45–54,Unknown,439
Austria,Europe,Klagenfurt,Business,55+,Unknown,440
Austria,Europe,Linz,Government,18–24,iOS 16,441
Austria,Europe,Linz,Government,55+,Unknown,442
Austria,Europe,Linz,Business,45–54,Unknown,443
Austria,Europe,Linz,Education,18–24,Other,444
Austria,Europe,Linz,Business,35–44,Unknown,445
Austria,Europe,Linz,Education,45–54,Unknown,446
Austria,Europe,Linz,Education,18–24,Unknown,447
Austria,Europe,Linz,Business,35–44,iOS 17,448
Austria,Europe,Linz,Business,25–34,Other,449
Austria,Europe,Linz,Business,55+,Unknown,450
Austria,Europe,Linz,Business,18–24,Unknown,451
Austria,Europe,Linz,Government,25–34,Unknown,452
Austria,Europe,Linz,Education,45–54,iOS 16,453
Austria,Europe,Linz,Education,55+,Unknown,454
Austria,Europe,Linz,Individual,55+,New User,455
Austria,Europe,Saint Pölten,Individual,25–34,Unknown,456
Austria,Europe,Saint Pölten,Individual,35–44,Unknown,457
Austria,Europe,Saint Pölten,Individual,55+,Unknown,458
Austria,Europe,Saint Pölten,Government,35–44,Unknown,459
Austria,Europe,Saint Pölten,Education,55+,Unknown,460
Austria,Europe,Saint Pölten,Individual,45–54,iOS 17,461
Austria,Europe,Saint Pölten,Business,18–24,Unknown,462
Austria,Europe,Saint Pölten,Business,25–34,Unknown,463
Austria,Europe,Saint Pölten,Business,55+,Unknown,464
Austria,Europe,Saint Pölten,Government,45–54,Unknown,465
Austria,Europe,Saint Pölten,Government,18–24,iOS 16,466
Austria,Europe,Saint Pölten,Education,55+,Android,467
Austria,Europe,Saint Pölten,Education,18–24,Unknown,468
Austria,Europe,Saint Pölten,Individual,45–54,Unknown,469
Austria,Europe,Saint Pölten,Government,55+,Unknown,470
Austria,Europe,Salzburg,Education,25–34,Android,471
Austria,Europe,Salzburg,Business,18–24,iOS 17,472
Austria,Europe,Salzburg,Individual,45–54,Unknown,473
Austria,Europe,Salzburg,Individual,25–34,Other,474
Austria,Europe,Salzburg,Individual,55+,Unknown,475
Austria,Europe,Salzburg,Education,45–54,Unknown,476
Austria,Europe,Salzburg,Individual,35–44,iOS 16,477
Austria,Europe,Salzburg,Education,18–24,Unknown,478
Austria,Europe,Salzburg,Individual,25–34,Unknown,479
Austria,Europe,Salzburg,Government,18–24,Unknown,480
Austria,Europe,Salzburg,Individual,18–24,Unknown,481
Austria,Europe,Salzburg,Government,55+,Unknown,482
Austria,Europe,Salzburg,Business,35–44,Unknown,483
Austria,Europe,Salzburg,Education,55+,Unknown,484
Austria,Europe,Salzburg,Business,45–54,Unknown,485
Austria,Europe,Salzburg,Education,25–34,Unknown,486
Austria,Europe,Salzburg,Business,55+,Android,487
Austria,Europe,Salzburg,Education,18–24,Other,488
Austria,Europe,Salzburg,Education,35–44,Other,489
Austria,Europe,Vienna,Individual,18–24,Unknown,490
Austria,Europe,Vienna,Education,25–34,Unknown,491
Austria,Europe,Vienna,Business,25–34,Unknown,492
Austria,Europe,Vienna,Business,55+,Unknown,493
Austria,Europe,Vienna,Government,25–34,Unknown,494
Austria,Europe,Vienna,Government,18–24,iOS 15,495
Austria,Europe,Vienna,Business,18–24,Unknown,496
Austria,Europe,Vienna,Government,35–44,Other,497
