sale_id,sale_date,month,season,year,customer_id,product_id,units_sold,revenue_usd,discount_level,discount_amount,discount_pct,customer_rating,return_status
APPL-00000027,2024-07-04,July,Summer,2024,12,24,1,156.74,No Discount,0.0,0,,Kept
APPL-00000028,2024-08-18,August,Summer,2024,21,25,1,91.89,No Discount,0.0,0,,Kept
APPL-00000029,2024-08-18,August,Summer,2024,22,26,2,502.8,No Discount,0.0,0,,Kept
APPL-00000030,2024-10-13,October,Fall,2024,23,27,2,1595.5,No Discount,0.0,0,4.5,Kept
APPL-00000031,2024-10-21,October,Fall,2024,4,28,1,27.99,Medium,3.110000000000003,10,4.6,Kept
APPL-00000032,2022-01-04,January,Winter,2022,24,29,2,1059.4,Medium,39.870000000000005,7,4.3,Kept
APPL-00000033,2022-03-01,March,Winter,2022,25,30,5,1191.3,Medium,26.470000000000027,10,3.7,Kept
APPL-00000034,2022-03-03,March,Winter,2022,26,31,2,1584.76,No Discount,0.0,0,3.8,Kept
APPL-00000035,2022-03-06,March,Winter,2022,27,32,1,1292.23,Low,26.36999999999989,2,,Kept
APPL-00000036,2022-03-25,March,Spring,2022,28,26,2,533.5,No Discount,0.0,0,3.9,Kept
APPL-00000037,2022-06-29,June,Summer,2022,29,33,1,38.46,No Discount,0.0,0,4.6,Kept
APPL-00000038,2022-07-07,July,Summer,2022,30,4,1,1987.24,Low,104.58999999999992,5,3.1,Kept
APPL-00000039,2022-09-19,September,Summer,2022,31,34,2,1073.54,Medium,59.63999999999999,10,3.6,Kept
APPL-00000040,2022-10-09,October,Fall,2022,32,35,1,1251.99,Low,25.549999999999955,2,4.8,Kept
APPL-00000041,2022-11-07,November,Fall,2022,33,36,2,1222.7,Low,12.480000000000018,2,3.8,Kept
APPL-00000042,2022-11-12,November,Fall,2022,25,6,1,87.4,Medium,9.709999999999994,10,3.7,Kept
APPL-00000043,2022-12-08,December,Fall,2022,34,37,2,2051.84,Low,20.939999999999827,2,4.4,Kept
APPL-00000044,2023-01-03,January,Winter,2023,31,38,1,108.59,Medium,12.060000000000002,10,,Kept
APPL-00000045,2023-01-07,January,Winter,2023,35,39,3,2016.6,No Discount,0.0,0,4.5,Kept
APPL-00000046,2023-02-28,February,Winter,2023,36,40,1,841.76,Medium,63.360000000000014,7,4.8,Kept
APPL-00000047,2023-04-12,April,Spring,2023,37,41,2,1627.32,High,143.59000000000003,15,,Kept
APPL-00000048,2023-09-13,September,Summer,2023,38,42,2,1165.28,No Discount,0.0,0,3.9,Kept
APPL-00000049,2023-10-15,October,Fall,2023,39,43,2,494.92,Low,5.049999999999983,2,4.6,Kept
APPL-00000050,2023-11-20,November,Fall,2023,40,44,5,572.0,High,20.19,15,,Kept
APPL-00000051,2024-02-28,February,Winter,2024,38,45,2,206.26,Low,2.1000000000000085,2,3.7,Returned
APPL-00000052,2024-03-27,March,Spring,2024,30,46,1,131.95,Low,2.6899999999999977,2,5.0,Kept
APPL-00000053,2024-03-29,March,Spring,2024,28,47,2,1986.82,Low,52.280000000000086,5,4.4,Kept
APPL-00000054,2024-03-31,March,Spring,2024,41,48,2,258.58,Medium,9.730000000000018,7,4.4,Returned
APPL-00000055,2024-04-15,April,Spring,2024,42,49,2,2350.86,No Discount,0.0,0,4.9,Kept
APPL-00000056,2024-04-26,April,Spring,2024,43,50,1,1028.59,No Discount,0.0,0,4.4,Kept
APPL-00000057,2024-05-03,May,Spring,2024,44,51,2,1339.0,No Discount,0.0,0,,Kept
APPL-00000058,2024-05-05,May,Spring,2024,45,52,1,368.08,High,64.96000000000004,15,4.4,Kept
APPL-00000059,2024-05-08,May,Spring,2024,46,53,4,9145.88,Low,120.34000000000016,5,,Kept
APPL-00000060,2024-05-29,May,Spring,2024,47,54,2,2007.44,Medium,111.51999999999998,10,,Kept
APPL-00000061,2024-08-18,August,Summer,2024,48,55,2,5058.02,No Discount,0.0,0,4.8,Kept
APPL-00000062,2024-08-20,August,Summer,2024,42,56,3,5741.49,No Discount,0.0,0,4.6,Kept
APPL-00000063,2024-09-20,September,Summer,2024,49,57,1,1181.41,No Discount,0.0,0,,Kept
APPL-00000064,2024-10-15,October,Fall,2024,42,6,1,105.89,No Discount,0.0,0,4.3,Kept
APPL-00000065,2022-01-03,January,Winter,2022,50,58,3,640.68,Medium,16.069999999999993,7,,Kept
APPL-00000066,2022-01-20,January,Winter,2022,51,59,7,3913.42,No Discount,0.0,0,4.7,Kept
APPL-00000067,2022-03-16,March,Winter,2022,52,60,2,925.14,No Discount,0.0,0,,Exchanged
APPL-00000068,2022-05-23,May,Spring,2022,53,61,1,525.1,Low,16.24000000000001,3,3.6,Kept
APPL-00000069,2022-07-15,July,Summer,2022,54,62,5,3507.45,High,123.78999999999996,15,,Kept
APPL-00000070,2022-10-03,October,Fall,2022,54,26,1,241.21,No Discount,0.0,0,,Kept
APPL-00000071,2022-10-07,October,Fall,2022,55,63,1,573.62,No Discount,0.0,0,,Kept
APPL-00000072,2022-10-16,October,Fall,2022,56,28,2,56.06,No Discount,0.0,0,4.6,Kept
APPL-00000073,2022-11-19,November,Fall,2022,57,64,1,87.98,Low,4.629999999999996,5,3.6,Kept
APPL-00000074,2023-02-05,February,Winter,2023,58,65,2,201.54,Low,2.0600000000000023,2,3.1,Kept
APPL-00000075,2023-03-24,March,Spring,2023,59,66,1,954.46,Medium,71.83999999999992,7,4.5,Kept
APPL-00000076,2023-04-03,April,Spring,2023,54,6,2,167.34,High,14.760000000000003,15,4.0,Kept
APPL-00000077,2023-04-04,April,Spring,2023,55,67,4,3199.88,No Discount,0.0,0,3.8,Kept
APPL-00000078,2023-04-05,April,Spring,2023,60,68,3,311.73,No Discount,0.0,0,3.5,Kept
APPL-00000079,2023-04-07,April,Spring,2023,61,27,1,747.46,No Discount,0.0,0,,Kept
APPL-00000080,2023-04-17,April,Spring,2023,62,69,2,1920.6,High,169.47000000000003,15,4.4,Kept
APPL-00000081,2023-05-15,May,Spring,2023,63,70,1,838.73,No Discount,0.0,0,3.3,Kept
APPL-00000082,2023-05-21,May,Spring,2023,64,71,1,773.96,No Discount,0.0,0,3.4,Kept
APPL-00000083,2023-05-24,May,Spring,2023,53,72,1,2660.43,No Discount,0.0,0,,Returned
APPL-00000084,2023-05-26,May,Spring,2023,65,73,1,358.9,Medium,27.010000000000048,7,,Kept
APPL-00000085,2023-06-08,June,Spring,2023,66,74,1,1002.66,No Discount,0.0,0,4.9,Kept
APPL-00000086,2023-07-09,July,Summer,2023,67,75,2,258.68,Medium,9.72999999999999,7,4.0,Kept
APPL-00000087,2023-08-12,August,Summer,2023,68,76,2,208.36,No Discount,0.0,0,3.6,Kept
APPL-00000088,2023-12-27,December,Winter,2023,52,77,3,115.68,Medium,2.8999999999999986,7,4.2,Kept
APPL-00000089,2024-01-23,January,Winter,2024,54,78,1,35.93,No Discount,0.0,0,3.9,Kept
APPL-00000090,2024-03-08,March,Winter,2024,69,79,1,1113.5,Low,34.440000000000055,3,,Kept
APPL-00000091,2024-03-18,March,Winter,2024,51,2,8,211.36,Low,0.5399999999999991,2,,Kept
APPL-00000092,2024-05-20,May,Spring,2024,70,80,3,442.92,Medium,16.400000000000006,10,3.1,Kept
APPL-00000093,2024-06-18,June,Spring,2024,71,81,1,855.13,Low,45.00999999999999,5,3.1,Kept
APPL-00000094,2024-09-27,September,Fall,2024,72,82,4,466.8,Low,2.3799999999999955,2,4.6,Exchanged
APPL-00000095,2024-12-23,December,Winter,2024,50,83,1,5654.62,High,997.88,15,,Kept
APPL-00000096,2024-12-27,December,Winter,2024,73,84,1,971.86,High,171.50999999999988,15,3.1,Returned
APPL-00000097,2022-01-18,January,Winter,2022,74,85,2,817.22,Low,8.339999999999975,2,3.2,Returned
APPL-00000098,2022-03-17,March,Winter,2022,75,86,2,2209.22,No Discount,0.0,0,4.0,Kept
APPL-00000099,2022-05-24,May,Spring,2022,76,24,3,460.5,Medium,17.060000000000002,10,4.5,Kept
APPL-00000100,2022-05-31,May,Spring,2022,77,87,2,167.96,Medium,9.329999999999998,10,4.9,Kept
APPL-00000101,2022-06-11,June,Spring,2022,78,1,1,162.39,Medium,18.04000000000002,10,,Kept
APPL-00000102,2022-10-30,October,Fall,2022,79,88,1,274.1,Medium,30.44999999999999,10,3.6,Kept
APPL-00000103,2022-10-31,October,Fall,2022,78,89,3,1681.23,Medium,62.26999999999998,10,3.6,Kept
APPL-00000104,2022-11-16,November,Fall,2022,77,90,2,1592.72,Low,41.90999999999997,5,4.5,Kept
APPL-00000105,2022-11-28,November,Fall,2022,80,91,3,728.64,High,42.860000000000014,15,,Kept
APPL-00000106,2023-01-29,January,Winter,2023,81,92,1,562.98,Medium,42.38,7,,Kept
APPL-00000107,2023-02-27,February,Winter,2023,82,93,3,20134.83,Low,207.57999999999996,3,3.4,Kept
APPL-00000108,2023-04-23,April,Spring,2023,83,94,1,857.32,No Discount,0.0,0,3.9,Kept
APPL-00000109,2023-04-24,April,Spring,2023,75,95,2,1137.74,Low,11.610000000000014,2,3.6,Kept
APPL-00000110,2023-05-03,May,Spring,2023,84,4,2,4065.62,No Discount,0.0,0,4.2,Kept
APPL-00000111,2023-07-20,July,Summer,2023,78,24,7,1105.44,No Discount,0.0,0,4.8,Kept
APPL-00000112,2023-07-31,July,Summer,2023,80,96,4,1532.6,Medium,42.57000000000005,10,,Kept
APPL-00000113,2023-10-09,October,Fall,2023,85,68,2,205.4,No Discount,0.0,0,4.5,Kept
APPL-00000114,2023-12-25,December,Winter,2023,86,97,1,901.31,No Discount,0.0,0,3.2,Kept
APPL-00000115,2024-01-07,January,Winter,2024,78,98,1,7063.94,No Discount,0.0,0,3.9,Kept
APPL-00000116,2024-01-24,January,Winter,2024,87,99,1,313.13,No Discount,0.0,0,3.2,Kept
APPL-00000117,2024-03-15,March,Winter,2024,82,100,1,538.4,No Discount,0.0,0,4.3,Kept
APPL-00000118,2024-06-29,June,Summer,2024,87,101,1,116.33,Medium,12.920000000000002,10,3.3,Kept
APPL-00000119,2024-07-09,July,Summer,2024,77,102,1,121.73,Medium,13.529999999999989,10,3.7,Kept
APPL-00000120,2024-07-14,July,Summer,2024,87,3,2,527.68,High,46.56,15,5.0,Kept
APPL-00000121,2024-08-14,August,Summer,2024,88,103,1,632.35,No Discount,0.0,0,4.3,Kept
APPL-00000122,2024-08-20,August,Summer,2024,85,6,1,103.58,No Discount,0.0,0,,Kept
APPL-00000123,2024-08-25,August,Summer,2024,89,104,6,6498.9,Low,33.5,3,4.9,Kept
APPL-00000124,2024-10-05,October,Fall,2024,90,105,1,834.23,Medium,92.68999999999994,10,4.3,Kept
APPL-00000125,2024-10-31,October,Fall,2024,91,106,1,1150.97,No Discount,0.0,0,4.8,Kept
APPL-00000126,2022-01-07,January,Winter,2022,92,107,3,1795.17,Low,18.50999999999999,3,,Kept
APPL-00000127,2022-02-08,February,Winter,2022,93,5,5,3626.7,Medium,80.58999999999992,10,3.2,Kept
APPL-00000128,2022-02-18,February,Winter,2022,94,108,1,2511.12,Low,77.66000000000031,3,3.7,Kept
APPL-00000129,2022-04-23,April,Spring,2022,95,50,1,1035.62,No Discount,0.0,0,4.1,Kept
APPL-00000130,2022-06-06,June,Spring,2022,96,109,1,798.43,No Discount,0.0,0,,Kept
APPL-00000131,2022-06-17,June,Spring,2022,93,110,1,431.59,High,76.16000000000003,15,,Kept
APPL-00000132,2022-07-16,July,Summer,2022,97,111,1,1038.2,Medium,115.3599999999999,10,4.6,Kept
APPL-00000133,2022-09-08,September,Summer,2022,98,45,5,451.35,Low,2.7900000000000063,3,4.0,Exchanged
APPL-00000134,2022-12-21,December,Winter,2022,99,112,1,901.23,No Discount,0.0,0,,Kept
APPL-00000135,2022-12-29,December,Winter,2022,94,113,4,3082.56,No Discount,0.0,0,,Kept
APPL-00000136,2023-02-27,February,Winter,2023,100,114,1,2113.54,No Discount,0.0,0,4.2,Kept
APPL-00000137,2023-04-04,April,Spring,2023,101,115,2,1117.3,No Discount,0.0,0,4.0,Kept
APPL-00000138,2023-04-17,April,Spring,2023,93,116,4,301.08,Low,3.960000000000008,5,3.3,Kept
APPL-00000139,2023-06-02,June,Spring,2023,102,6,1,96.73,Low,5.089999999999989,5,,Kept
APPL-00000140,2023-08-03,August,Summer,2023,102,82,2,236.92,Medium,13.16000000000001,10,,Kept
APPL-00000141,2023-08-26,August,Summer,2023,103,117,2,481.94,Medium,18.14000000000001,7,3.6,Kept
APPL-00000142,2023-09-04,September,Summer,2023,104,33,8,249.6,High,5.500000000000004,15,3.2,Kept
APPL-00000143,2023-09-08,September,Summer,2023,105,15,4,100.04,Medium,1.879999999999999,7,5.0,Kept
APPL-00000144,2023-09-23,September,Fall,2023,106,118,1,921.83,Low,18.809999999999945,2,,Returned
APPL-00000145,2023-10-03,October,Fall,2023,107,38,1,127.55,No Discount,0.0,0,,Kept
APPL-00000146,2023-11-01,November,Fall,2023,104,119,1,1065.28,Medium,118.36000000000011,10,,Kept
APPL-00000147,2023-11-09,November,Fall,2023,107,120,3,7835.7,Low,80.77999999999975,3,,Kept
APPL-00000148,2023-11-24,November,Fall,2023,108,121,1,1172.67,Medium,130.29999999999995,10,4.1,Exchanged
APPL-00000149,2024-02-14,February,Winter,2024,104,122,4,513.72,Low,3.969999999999999,3,,Kept
APPL-00000150,2024-03-19,March,Winter,2024,100,123,2,1409.58,Low,37.09000000000003,5,,Kept
APPL-00000151,2024-03-19,March,Winter,2024,107,124,1,993.4,High,175.31000000000006,15,4.7,Kept
APPL-00000152,2024-05-26,May,Spring,2024,104,125,1,487.28,No Discount,0.0,0,,Kept
APPL-00000153,2024-05-27,May,Spring,2024,109,126,5,4841.85,Low,19.75999999999999,2,4.2,Kept
APPL-00000154,2024-06-11,June,Spring,2024,99,127,1,1078.63,No Discount,0.0,0,4.6,Kept
APPL-00000155,2024-08-04,August,Summer,2024,110,128,3,1659.42,No Discount,0.0,0,3.5,Kept
APPL-00000156,2024-08-28,August,Summer,2024,105,129,1,361.65,Medium,27.220000000000027,7,3.5,Kept
APPL-00000157,2024-10-29,October,Fall,2024,111,130,3,930.75,No Discount,0.0,0,3.6,Returned
APPL-00000158,2024-11-05,November,Fall,2024,108,131,3,214.02,Low,2.2099999999999937,3,4.4,Kept
APPL-00000159,2022-01-05,January,Winter,2022,112,132,1,589.97,Low,12.039999999999964,2,3.2,Kept
APPL-00000160,2022-02-15,February,Winter,2022,113,133,1,1019.26,Low,31.519999999999985,3,,Kept
APPL-00000161,2022-03-13,March,Winter,2022,114,134,1,264.67,Medium,29.409999999999968,10,4.3,Kept
APPL-00000162,2022-03-21,March,Spring,2022,114,135,2,535.7,No Discount,0.0,0,4.9,Kept
APPL-00000163,2022-03-24,March,Spring,2022,115,136,6,1327.98,Medium,16.659999999999997,7,,Kept
APPL-00000164,2022-05-26,May,Spring,2022,116,137,4,4126.84,Low,31.90999999999985,3,4.7,Returned
APPL-00000165,2022-06-29,June,Summer,2022,117,138,1,508.48,Medium,56.5,10,4.7,Kept
APPL-00000166,2022-07-19,July,Summer,2022,118,30,1,262.48,No Discount,0.0,0,3.3,Kept
APPL-00000167,2022-09-26,September,Fall,2022,119,139,1,541.85,Medium,60.20999999999992,10,4.6,Returned
APPL-00000168,2022-12-24,December,Winter,2022,120,140,2,1663.76,No Discount,0.0,0,4.2,Kept
APPL-00000169,2023-01-07,January,Winter,2023,121,141,1,681.23,No Discount,0.0,0,,Kept
APPL-00000170,2023-01-30,January,Winter,2023,116,142,1,833.09,No Discount,0.0,0,4.5,Kept
APPL-00000171,2023-04-17,April,Spring,2023,122,143,1,852.36,No Discount,0.0,0,4.0,Kept
APPL-00000172,2023-04-26,April,Spring,2023,123,28,1,27.58,Low,0.8500000000000014,3,,Kept
APPL-00000173,2023-05-28,May,Spring,2023,124,144,1,119.65,Low,3.6999999999999886,3,4.3,Kept
APPL-00000174,2023-06-02,June,Spring,2023,125,145,1,1105.53,No Discount,0.0,0,3.0,Kept
APPL-00000175,2023-07-12,July,Summer,2023,123,64,1,99.42,No Discount,0.0,0,3.3,Kept
APPL-00000176,2023-09-17,September,Summer,2023,126,122,1,112.91,Medium,12.540000000000006,10,3.9,Kept
APPL-00000177,2023-09-18,September,Summer,2023,127,146,2,4704.2,No Discount,0.0,0,4.8,Kept
APPL-00000178,2023-09-28,September,Fall,2023,123,147,2,1878.26,High,165.7299999999999,15,4.9,Kept
APPL-00000179,2023-10-10,October,Fall,2023,125,148,1,780.83,No Discount,0.0,0,3.0,Kept
APPL-00000180,2023-12-17,December,Fall,2023,123,149,1,104.0,No Discount,0.0,0,3.5,Kept
APPL-00000181,2023-12-20,December,Fall,2023,128,150,6,2508.72,No Discount,0.0,0,4.0,Kept
APPL-00000182,2023-12-24,December,Winter,2023,127,98,1,6866.48,Medium,516.8300000000008,7,3.7,Kept
APPL-00000183,2023-12-30,December,Winter,2023,118,24,1,164.29,Low,3.3499999999999943,2,4.4,Kept
APPL-00000184,2024-02-02,February,Winter,2024,123,18,4,533.12,No Discount,0.0,0,4.6,Kept
APPL-00000185,2024-02-07,February,Winter,2024,129,151,2,2404.76,No Discount,0.0,0,,Kept
APPL-00000186,2024-03-10,March,Winter,2024,130,48,1,115.65,Medium,8.709999999999994,7,,Kept
APPL-00000187,2024-03-11,March,Winter,2024,131,152,1,2190.48,Medium,164.8699999999999,7,4.6,Kept
APPL-00000188,2024-03-19,March,Winter,2024,115,153,4,420.4,No Discount,0.0,0,3.8,Kept
APPL-00000189,2024-04-16,April,Spring,2024,132,62,1,773.63,No Discount,0.0,0,3.5,Kept
APPL-00000190,2024-08-18,August,Summer,2024,133,154,1,843.88,No Discount,0.0,0,3.2,Kept
APPL-00000191,2024-09-22,September,Summer,2024,115,64,2,210.9,No Discount,0.0,0,3.7,Kept
APPL-00000192,2024-10-08,October,Fall,2024,134,155,1,683.0,Medium,75.88999999999999,10,3.4,Kept
APPL-00000193,2024-10-09,October,Fall,2024,135,156,3,2548.92,Medium,94.40999999999995,10,4.3,Kept
APPL-00000194,2024-11-01,November,Fall,2024,136,157,3,2705.16,Low,47.45999999999992,5,4.1,Kept
APPL-00000195,2024-12-24,December,Winter,2024,137,15,1,29.68,No Discount,0.0,0,3.8,Kept
APPL-00000196,2024-12-27,December,Winter,2024,138,158,1,719.64,Low,14.690000000000056,2,4.5,Kept
APPL-00000197,2022-02-05,February,Winter,2022,139,122,1,120.97,Low,6.3700000000000045,5,4.3,Returned
APPL-00000198,2022-03-19,March,Winter,2022,140,58,1,238.64,Medium,26.52000000000004,10,4.4,Kept
APPL-00000199,2022-05-04,May,Spring,2022,141,159,2,1928.96,No Discount,0.0,0,,Kept
APPL-00000200,2022-05-07,May,Spring,2022,142,160,2,1639.04,Low,43.13,5,3.1,Kept
APPL-00000201,2022-05-19,May,Spring,2022,143,68,1,104.6,No Discount,0.0,0,,Kept
APPL-00000202,2022-05-27,May,Spring,2022,144,161,2,2415.08,No Discount,0.0,0,3.9,Kept
APPL-00000203,2022-06-27,June,Summer,2022,145,15,1,26.37,Low,0.8200000000000003,3,3.1,Kept
APPL-00000204,2022-08-28,August,Summer,2022,146,162,2,1514.24,Medium,84.13,10,4.3,Returned
APPL-00000205,2022-10-07,October,Fall,2022,147,163,6,3316.14,Low,17.089999999999918,3,3.2,Kept
APPL-00000206,2022-11-18,November,Fall,2022,148,88,3,852.15,No Discount,0.0,0,4.3,Kept
APPL-00000207,2023-02-09,February,Winter,2023,149,153,1,103.02,Low,2.1000000000000085,2,,Returned
APPL-00000208,2023-06-14,June,Spring,2023,145,164,5,2119.7,Medium,47.110000000000014,10,3.2,Kept
APPL-00000209,2023-07-20,July,Summer,2023,150,165,3,1658.7,Low,11.279999999999973,2,3.6,Exchanged
APPL-00000210,2023-07-27,July,Summer,2023,148,147,1,1089.34,Low,22.230000000000015,2,,Kept
APPL-00000211,2023-08-01,August,Summer,2023,150,45,1,87.53,Low,4.609999999999999,5,4.8,Kept
APPL-00000212,2023-08-01,August,Summer,2023,151,166,2,1080.9,No Discount,0.0,0,3.9,Kept
APPL-00000213,2023-09-08,September,Summer,2023,147,167,2,4965.66,Low,50.67000000000007,2,3.1,Kept
APPL-00000214,2023-09-20,September,Summer,2023,152,168,1,2285.41,Low,120.28999999999996,5,3.3,Kept
APPL-00000215,2023-09-30,September,Fall,2023,143,113,3,2508.0,Low,25.860000000000014,3,3.6,Kept
APPL-00000216,2023-10-17,October,Fall,2023,153,169,1,860.92,Medium,64.80000000000007,7,,Kept
APPL-00000217,2023-11-03,November,Fall,2023,154,170,2,3685.62,Low,96.99,5,4.6,Kept
APPL-00000218,2024-01-05,January,Winter,2024,155,171,2,861.84,No Discount,0.0,0,3.1,Kept
APPL-00000219,2024-02-01,February,Winter,2024,156,172,7,3573.64,Low,26.870000000000005,5,4.3,Returned
APPL-00000220,2024-03-30,March,Spring,2024,139,165,3,1767.06,Low,12.019999999999982,2,4.6,Kept
APPL-00000221,2024-05-26,May,Spring,2024,157,173,6,3498.6,No Discount,0.0,0,4.2,Kept
APPL-00000222,2024-08-22,August,Summer,2024,147,174,1,1341.52,No Discount,0.0,0,,Exchanged
APPL-00000223,2024-09-05,September,Summer,2024,158,175,1,784.65,Low,24.269999999999985,3,4.9,Returned
APPL-00000224,2024-10-14,October,Fall,2024,152,124,1,1056.55,No Discount,0.0,0,4.9,Exchanged
APPL-00000225,2024-11-04,November,Fall,2024,159,176,2,1487.46,No Discount,0.0,0,,Kept
APPL-00000226,2024-11-12,November,Fall,2024,151,78,3,109.23,No Discount,0.0,0,3.5,Kept
APPL-00000227,2024-12-11,December,Fall,2024,160,177,1,528.31,Low,27.81000000000006,5,4.0,Kept
APPL-00000228,2022-01-09,January,Winter,2022,161,178,2,600.74,No Discount,0.0,0,,Kept
APPL-00000229,2022-02-10,February,Winter,2022,162,179,1,673.99,High,118.93999999999994,15,,Kept
APPL-00000230,2022-03-26,March,Spring,2022,163,180,1,585.92,High,103.40000000000008,15,4.7,Kept
APPL-00000231,2022-05-01,May,Spring,2022,164,88,1,276.66,Low,8.560000000000002,3,3.4,Kept
APPL-00000232,2022-09-17,September,Summer,2022,165,67,5,3568.85,Medium,53.72000000000003,7,3.5,Kept
APPL-00000233,2022-10-07,October,Fall,2022,166,8,1,115.97,Medium,8.730000000000004,7,,Kept
APPL-00000234,2022-11-01,November,Fall,2022,167,181,1,987.48,High,174.26,15,3.3,Returned
APPL-00000235,2022-12-07,December,Fall,2022,168,182,1,2050.76,No Discount,0.0,0,3.3,Kept
APPL-00000236,2023-01-15,January,Winter,2023,169,183,2,2539.82,Low,25.919999999999845,2,4.2,Kept
APPL-00000237,2023-01-28,January,Winter,2023,170,122,1,118.3,High,20.88000000000001,15,,Exchanged
APPL-00000238,2023-02-16,February,Winter,2023,166,184,4,495.24,No Discount,0.0,0,4.3,Kept
APPL-00000239,2023-04-14,April,Spring,2023,161,80,1,164.6,No Discount,0.0,0,3.1,Kept
APPL-00000240,2023-05-16,May,Spring,2023,171,44,3,355.05,Medium,13.150000000000006,10,3.6,Kept
APPL-00000241,2023-05-28,May,Spring,2023,172,185,1,386.37,Low,11.949999999999989,3,3.7,Kept
APPL-00000242,2023-06-13,June,Spring,2023,164,186,1,128.29,No Discount,0.0,0,4.2,Kept
APPL-00000243,2023-07-14,July,Summer,2023,163,187,1,729.75,No Discount,0.0,0,4.9,Kept
APPL-00000244,2023-07-22,July,Summer,2023,173,26,1,256.89,No Discount,0.0,0,,Kept
APPL-00000245,2023-08-02,August,Summer,2023,174,188,2,1664.14,No Discount,0.0,0,3.9,Kept
APPL-00000246,2023-08-03,August,Summer,2023,175,40,1,901.68,Low,27.8900000000001,3,,Kept
APPL-00000247,2023-08-19,August,Summer,2023,164,189,1,541.7,No Discount,0.0,0,,Exchanged
APPL-00000248,2023-09-02,September,Summer,2023,176,190,5,1959.1,Medium,43.53000000000003,10,,Kept
APPL-00000249,2023-10-01,October,Fall,2023,177,191,2,1785.4,No Discount,0.0,0,4.0,Kept
APPL-00000250,2023-10-29,October,Fall,2023,178,192,4,2964.44,Low,15.120000000000005,2,,Kept
APPL-00000251,2023-11-12,November,Fall,2023,179,193,2,755.96,Medium,42.0,10,3.9,Kept
APPL-00000252,2023-12-08,December,Fall,2023,180,194,1,1107.79,Low,22.610000000000127,2,3.4,Kept
APPL-00000253,2023-12-30,December,Winter,2023,181,195,4,1180.16,No Discount,0.0,0,5.0,Returned
APPL-00000254,2024-01-23,January,Winter,2024,182,196,2,1985.44,Low,30.69999999999993,3,3.4,Kept
APPL-00000255,2024-03-05,March,Winter,2024,170,134,7,1853.11,High,46.71999999999997,15,4.8,Kept
APPL-00000256,2024-03-24,March,Spring,2024,183,197,2,2363.28,No Discount,0.0,0,4.0,Kept
APPL-00000257,2024-05-11,May,Spring,2024,179,45,2,172.66,High,15.230000000000004,15,,Kept
